дата	что	итог	секунд	пик-ГиБ	байт-вывода	потолок-шагов	откуда
2026-08-22	сверка	дошла	1198	25.1	26180580	1000000000	коммит 6c5d805c
2026-08-23	печать	оборвана-шаги	1456	34.3	0	1000000000	/srv/work/raskrutka-polnaya.log
2026-08-23	печать	снята	6810	80.9	0	40000000000	/srv/work/perepechatka-vysokim.log
2026-08-23	печать	дошла	10737	132.5	33478126	40000000000	/srv/work/perepechatka2.log
2026-08-24	печать	снята	47177	139.3	0	40000000000	/srv/work/semya-chestnaya.log
2026-08-24	печать	оборвана-шаги	10933	216.9	0	4000000000	/srv/work/semya2.log
2026-08-24	печать	дошла	19807	258.9	38934572	12000000000	/srv/work/semya3.log
2026-08-26	печать	оборвана-глубина	0	0	0	20000000000	/srv/work/semya5.log
